event_key,name,series_slug,start_date,end_date,city,region,country,country_code,event_type,flags,status,website,first_seen_snapshot,last_seen_snapshot,snapshots_seen
2026-06-baroqueswing,BaroqueSwing,baroqueswing,2026-06-25,2026-06-28,Ludwigsburg,Baden-Württemberg,Deutschland,DEU,Registry Event,,ended,https://baroqueswing.com,20251006,20260513,5
2026-06-colorado-country-classic,Colorado Country Classic,colorado-country-classic,2026-06-25,2026-06-28,Denver,"Colorado, Colorado",USA,USA,Registry Event,,ended,https://coloradocountryclassic.net/,20251219,20260513,4
2026-06-liberty-swing-dance-championships,Liberty Swing Dance Championships,liberty-swing-dance-championships,2026-06-25,2026-06-28,New Brunswick,New Jersey,USA,USA,Registry Event,,ended,http://www.libertyswing.com,20251006,20260513,5
2026-06-neverlandswing-dutch-swing-championships,NeverlandSwing Dutch Swing Championships 2026,neverlandswing-dutch-swing-championships,2026-06-25,2026-06-29,Amsterdam,Noord Holland,The Netherlands,NLD,Registry Event,,ended,http://www.neverlandswing.com,20260308,20260513,2
2026-06-swing-fiction,Swing Fiction,swing-fiction,2026-06-26,2026-06-28,Brno,,Czechia,CZE,Registry Event,,ended,https://www.swingfiction.cz/,20251006,20260513,5
2026-07-americano-dance-camp,Americano Dance Camp,americano-dance-camp,2026-07-02,2026-07-06,Samara,Samara state,Russia,transparent,Registry Event,,ended,https://t.me/americamodancecamp https://vk.com/americano2025,20260513,20260513,1
2026-07-phoenix-of-july,Phoenix 4th of July,phoenix-of-july,2026-07-02,2026-07-05,Phoenix,AZ,United States,USA,Registry Event,,ended,http://phoenix4thofjuly.com,20251219,20260513,4
2026-07-saunaswing,SaunaSwing,saunaswing,2026-07-02,2026-07-04,Ikaalinen,Pirkanmaa,Finland,FIN,Registry Event,,ended,https://ekarolas.com/saunaswing/,20260308,20260513,2
2026-07-wild-wild-westie,Wild Wild Westie,wild-wild-westie,2026-07-02,2026-07-05,Dallas,TX,United States,USA,Registry Event,,ended,https://www.wildwildwestie.com/,20251006,20260513,5
2026-07-french-connection-wcs,French Connection WCS,french-connection-wcs,2026-07-03,2026-07-06,Annecy,Haute Savoie,FRANCE,FRA,Registry Event,,ended,https://www.frenchconnectionwcs.com/,20251006,20260513,5
2026-07-carolina-summer-swing,Carolina Summer Swing,carolina-summer-swing,2026-07-09,2026-07-12,Greenville,"South Carolina, SC",USA,USA,Registry Event,,ended,https://carolinasummerswing.com,20251006,20260513,5
2026-07-mediterranean-open-wcs,Mediterranean Open WCS,mediterranean-open-wcs,2026-07-09,2026-07-13,Barcelona,,Spain,ESP,Registry Event,,ended,https://mediterraneanopenwcs.com/,20251006,20260513,5
2026-07-my-swing,MY Swing 2026,my-swing,2026-07-09,2026-07-12,Malaysia,,,MYS,Registry Event,,ended,https://www.myswingopen.com/,20251006,20260513,5
2026-07-toronto-open,Toronto Open (Hiatus),toronto-open,2026-07-09,2026-07-12,Toronto,Ontario,Canada,CAN,Registry Event,,hiatus,http://www.TOSHC.com,20260308,20260513,2
2026-07-swinglab-berlin,SwingLab Berlin,swinglab-berlin,2026-07-10,2026-07-12,Berlin,,Germany,DEU,Trial Event,event-trial,ended,http://www.swinglab-berlin.com,20250512,20260513,7
2026-07-midwest-westie-fest,Midwest Westie Fest 2026,midwest-westie-fest,2026-07-16,2026-07-19,Overland Park,KS,United States,USA,Registry Event,,ended,http://Www.midwestwestiefest.com,20251006,20260513,5
2026-07-revitalise-wcs,Revitalise WCS,revitalise-wcs,2026-07-16,2026-07-19,Melbourne,Victoria,Australia,AUS,Registry Event,,ended,https://revitalisewcs.melbourne/,20251006,20260513,5
2026-07-rock-the-barn,Rock The Barn,rock-the-barn,2026-07-17,2026-07-19,Umeå,Nordmalings kommun,Sweden,SWE,Registry Event,,ended,https://rockthebarn.se/,20260107,20260513,3
2026-07-st-petersburg-wcs-nights,St. Petersburg WCS Nights,st-petersburg-wcs-nights,2026-07-22,2026-07-26,St.Petersburg,,Russia,transparent,Registry Event,,ended,http://wcsnights.ru,20251006,20260513,5
2026-07-florida-dance-magic,Florida Dance Magic,florida-dance-magic,2026-07-23,2026-07-26,Ft. Lauderdale,FL,United States,USA,Registry Event,,ended,https://floridadancemagic.com,20251006,20260513,5
2026-07-infinite-swing,Infinite Swing,infinite-swing,2026-07-23,2026-07-26,Munich,Bavaria,Deutschland,DEU,Trial Event,event-trial,ended,http://infinite-swing.com,20260308,20260513,2
2026-08-sea-sun-and-swing,Sea Sun and Swing,sea-sun-and-swing,2026-07-25,2026-08-01,La Grande Motte,Herault,France,FRA,Registry Event,,ended,http://www.seasunswing.fr,20251006,20260513,5
2026-08-lisbon-westie-fest,Lisbon Westie Fest,lisbon-westie-fest,2026-07-30,2026-08-02,Lisbon,,Portugal,PRT,Registry Event,,ended,https://lisbonwestiefest.com/,20251219,20260513,4
2026-08-warsaw-summer-nights-westival,Warsaw Summer Nights Westival,warsaw-summer-nights-westival,2026-07-30,2026-08-02,Warsaw,mazowieckie,Poland,POL,Registry Event,,ended,https://www.summernightswestival.com,20251006,20260513,5
2026-08-german-open-wcs,German Open WCS,german-open-wcs,2026-08-05,2026-08-09,Freiburg,Baden-Württemberg,Germany,DEU,Registry Event,,ended,http://www.go-wcs.com,20251006,20260513,5
2026-08-new-england-dance-festival,New England Dance Festival,new-england-dance-festival,2026-08-06,2026-08-09,Boston,Massachusetts,USA,USA,Registry Event,,ended,http://www.nedancefestival.com,20260308,20260513,2
2026-08-swing-fling,Swing Fling,swing-fling,2026-08-06,2026-08-09,Washington,"DC., VA",USA,USA,Registry Event,,ended,http://www.swingfling.com,20251006,20260513,5
2026-08-swingtacular-the-galactic-open,Swingtacular: The Galactic Open,swingtacular-the-galactic-open,2026-08-06,2026-08-09,San Francisco,CA,USA,USA,Registry Event,,ended,http://www.DanceGeekProductions.Art,20251006,20260513,5
2026-08-grand-party-sofia-gps,Grand Party Sofia (GPS),grand-party-sofia-gps,2026-08-14,2026-08-17,Sofia,,Bulgaria,BGR,Registry Event,,ended,https://wcs-gps.com/,20251006,20260513,5
2026-08-uptown-swing,UpTown Swing,uptown-swing,2026-08-14,2026-08-17,Stockholm,Stockholm,Sweden,SWE,Registry Event,,ended,http://www.uptownswing.se,20260308,20260513,2
2026-08-shakedown-swing,Shakedown Swing,shakedown-swing,2026-08-20,2026-08-23,Christchurch,Canterbury,New Zealand,NZL,Registry Event,,ended,http://www.code03swing.com/shakedown,20251219,20260513,4
2026-08-summer-hummer,Summer Hummer,summer-hummer,2026-08-20,2026-08-23,Boston,Massachusetts,United States,USA,Registry Event,,ended,http://Summerhummerboston.com,20251006,20260513,5
2026-08-swing-creation-hamburg,Swing Creation Hamburg,swing-creation-hamburg,2026-08-20,2026-08-23,Hamburg,,Germany,DEU,Trial Event,event-trial,ended,http://hamburgswing.dance,20260308,20260513,2
2026-08-the-bend-connection,The Bend Connection,the-bend-connection,2026-08-20,2026-08-23,Bend,,OR,USA,Registry Event,,ended,http://thebendconnection.com,20251006,20260513,5
2026-08-chicagoland-country-and-swing-dance-festival,Chicagoland Country and Swing Dance Festival,chicagoland-country-and-swing-dance-festival,2026-08-21,2026-08-23,Chicago,Illinois,USA,USA,Registry Event,,ended,http://www.chicagolanddancefestival.com,20260308,20260513,2
2026-08-manneken-swing,Manneken Swing,manneken-swing,2026-08-21,2026-08-23,Bruxelles,Bruxelles,Belgium,BEL,Trial Event,event-trial,ended,https://www.mannekenswing.com,20260308,20260513,2
2026-08-westie-joy,Westie Joy,westie-joy,2026-08-21,2026-08-23,Bucharest,"Romania, Bucharest",Romania,ROU,Trial Event,event-trial,ended,https://www.westiejoy.com/,20260308,20260513,2
2026-08-desert-city-swing,Desert City Swing,desert-city-swing,2026-08-27,2026-08-30,Phoenix,AZ,USA,USA,Registry Event,,ended,http://www.desertcityswing.com,20260308,20260513,2
2026-08-rolling-swing,Rolling Swing,rolling-swing,2026-08-27,2026-08-31,LYON,Rhone,France,FRA,Registry Event,,ended,http://www.frenchywesty.com,20251006,20260513,5
2026-08-bristol-swing-fiesta,Bristol Swing Fiesta,bristol-swing-fiesta,2026-08-28,2026-08-30,Bristol,"Bristol, City of",United Kingdom,GBR,Registry Event,,ended,https://www.bristolcityswing.com/bsf,20251219,20260513,4
2026-09-korea-westival,Korea Westival,korea-westival,2026-09-03,2026-09-06,Jeju,Jeju,South Korea,KOR,Registry Event,,in_progress,http://koreawestival.com,20260308,20260904,3
2026-09-south-bay-dance-fling,South Bay Dance Fling,south-bay-dance-fling,2026-09-03,2026-09-07,San Jose,California,USA,USA,Registry Event,,in_progress,https://sbdf.dance/,20251219,20260904,5
2026-09-jax-westie-fest,Jax Westie Fest,jax-westie-fest,2026-09-04,2026-09-07,Jacksonville,FL,USA,USA,Registry Event,,in_progress,http://www.jaxwestiefest.com,20251006,20260904,6
