wsdc_id,role,series_id,event_month,division,dance_style,reference_result,reference_points,reason
585,follower,wsdc-40,1999-04,PRO,wcs,4,3,conflicting_claim_withheld
596,follower,wsdc-67,1998-05,advanced,wcs,F,1,conflicting_claim_withheld
600,follower,wsdc-35,1996-11,intermediate,wcs,3,4,conflicting_claim_withheld
612,follower,wsdc-60,1997-04,advanced,wcs,F,0,conflicting_claim_withheld
618,follower,wsdc-60,1997-04,advanced,wcs,3,4,conflicting_claim_withheld
619,follower,wsdc-10,2002-09,PRO,wcs,4,3,conflicting_claim_withheld
619,follower,wsdc-18,2000-04,PRO,wcs,2,6,conflicting_claim_withheld
619,follower,wsdc-34,2001-09,PRO,wcs,2,6,conflicting_claim_withheld
635,leader,wsdc-7,1998-10,advanced,wcs,F,0,conflicting_claim_withheld
645,leader,wsdc-25,2002-06,PRO,wcs,F,1,conflicting_claim_withheld
660,follower,wsdc-12,1999-02,PRO,wcs,4,0,conflicting_claim_withheld
660,follower,wsdc-36,1998-12,PRO,wcs,2,6,conflicting_claim_withheld
660,follower,wsdc-8,1996-10,PRO,wcs,2,6,conflicting_claim_withheld
660,follower,wsdc-9,1999-03,PRO,wcs,2,6,conflicting_claim_withheld
677,leader,wsdc-25,2002-06,PRO,wcs,4,3,conflicting_claim_withheld
689,follower,wsdc-14,1996-02,juniors,wcs,2,6,conflicting_claim_withheld
702,follower,wsdc-25,1997-06,masters,wcs,4,0,conflicting_claim_withheld
714,follower,wsdc-6,1994-02,PRO,wcs,1,10,conflicting_claim_withheld
719,leader,wsdc-31,2001-11,PRO,wcs,2,6,conflicting_claim_withheld
719,leader,wsdc-37,2001-12,PRO,wcs,2,6,conflicting_claim_withheld
719,leader,wsdc-51,1998-09,PRO,wcs,4,3,conflicting_claim_withheld
719,leader,wsdc-8,1996-10,PRO,wcs,4,3,conflicting_claim_withheld
737,leader,wsdc-35,1995-11,advanced,wcs,1,10,conflicting_claim_withheld
749,leader,wsdc-35,1996-11,intermediate,wcs,3,4,conflicting_claim_withheld
764,leader,wsdc-20,1996-05,PRO,wcs,2,6,conflicting_claim_withheld
764,leader,wsdc-34,1998-09,PRO,wcs,3,4,conflicting_claim_withheld
785,leader,wsdc-7,1995-10,PRO,wcs,2,6,conflicting_claim_withheld
785,leader,wsdc-8,1996-10,PRO,wcs,F,1,conflicting_claim_withheld
794,leader,wsdc-60,1997-04,advanced,wcs,1,10,conflicting_claim_withheld
804,leader,wsdc-34,2001-09,PRO,wcs,2,0,conflicting_claim_withheld
825,follower,wsdc-51,2006-09,masters,wcs,F,0,conflicting_claim_withheld
851,follower,wsdc-18,1998-04,PRO,wcs,4,0,conflicting_claim_withheld
851,follower,wsdc-34,2001-09,PRO,wcs,1,10,conflicting_claim_withheld
854,leader,wsdc-12,1998-02,advanced,wcs,F,0,conflicting_claim_withheld
865,leader,wsdc-12,1997-02,advanced,wcs,F,1,conflicting_claim_withheld
873,leader,wsdc-53,2002-08,advanced,wcs,F,1,conflicting_claim_withheld
873,leader,wsdc-63,2001-11,advanced,wcs,5,0,conflicting_claim_withheld
875,leader,wsdc-25,1997-06,masters,wcs,1,10,conflicting_claim_withheld
879,follower,wsdc-71,1998-07,advanced,wcs,F,1,conflicting_claim_withheld
882,follower,wsdc-71,1999-07,PRO,wcs,5,0,conflicting_claim_withheld
902,leader,wsdc-47,1998-08,advanced,wcs,F,0,conflicting_claim_withheld
921,leader,wsdc-4,1996-10,PRO,wcs,4,3,conflicting_claim_withheld
968,follower,wsdc-7,1998-10,novice,wcs,F,1,conflicting_claim_withheld
971,leader,wsdc-31,1999-11,PRO,wcs,5,0,conflicting_claim_withheld
994,leader,wsdc-63,2001-11,intermediate,wcs,4,0,conflicting_claim_withheld
996,follower,wsdc-63,2001-11,advanced,wcs,3,0,conflicting_claim_withheld
999,leader,wsdc-53,2002-08,advanced,wcs,5,0,conflicting_claim_withheld
999,leader,wsdc-63,2001-11,advanced,wcs,2,6,conflicting_claim_withheld
1000,follower,wsdc-63,2001-11,advanced,wcs,F,1,conflicting_claim_withheld
1005,follower,wsdc-62,1998-01,intermediate,wcs,F,1,conflicting_claim_withheld
1034,leader,wsdc-25,1997-06,novice,wcs,4,0,conflicting_claim_withheld
1044,leader,wsdc-18,1998-04,masters,wcs,F,1,conflicting_claim_withheld
1047,leader,wsdc-65,1999-10,PRO,wcs,4,0,conflicting_claim_withheld
1054,follower,wsdc-36,2000-12,advanced,wcs,F,1,conflicting_claim_withheld
1054,follower,wsdc-56,2000-04,advanced,wcs,1,0,conflicting_claim_withheld
1103,follower,wsdc-47,2001-08,intermediate,wcs,F,0,conflicting_claim_withheld
1118,follower,wsdc-62,1998-01,advanced,wcs,F,1,conflicting_claim_withheld
1121,leader,wsdc-65,1999-10,PRO,wcs,5,0,conflicting_claim_withheld
1123,follower,wsdc-34,1998-09,PRO,wcs,1,10,conflicting_claim_withheld
1123,follower,wsdc-40,2001-04,PRO,wcs,3,4,conflicting_claim_withheld
1141,leader,wsdc-53,2002-08,intermediate,wcs,4,3,conflicting_claim_withheld
1183,leader,wsdc-53,2002-08,advanced,wcs,3,0,conflicting_claim_withheld
1198,leader,wsdc-47,2001-08,novice,wcs,F,0,conflicting_claim_withheld
1203,leader,wsdc-1,1997-07,newcomer,wcs,F,1,conflicting_claim_withheld
1209,follower,wsdc-71,2000-07,advanced,wcs,F,0,conflicting_claim_withheld
1211,leader,wsdc-20,1998-05,juniors,wcs,F,1,conflicting_claim_withheld
1238,follower,wsdc-16,2001-03,advanced,wcs,F,0,conflicting_claim_withheld
1247,follower,wsdc-1,1997-07,advanced,wcs,F,0,conflicting_claim_withheld
1250,follower,wsdc-1,1997-07,novice,wcs,F,1,conflicting_claim_withheld
1253,leader,wsdc-18,1998-04,novice,wcs,F,0,conflicting_claim_withheld
1317,leader,wsdc-7,2000-10,intermediate,wcs,F,0,conflicting_claim_withheld
1373,follower,wsdc-12,1998-02,novice,wcs,F,0,conflicting_claim_withheld
1383,leader,wsdc-63,2001-11,advanced,wcs,4,3,conflicting_claim_withheld
1391,follower,wsdc-53,2002-08,intermediate,wcs,2,6,conflicting_claim_withheld
1405,leader,wsdc-71,1999-07,novice,wcs,F,1,conflicting_claim_withheld
1426,follower,wsdc-20,1998-05,novice,wcs,F,0,conflicting_claim_withheld
1455,leader,wsdc-63,2001-11,intermediate,wcs,1,10,conflicting_claim_withheld
1457,leader,wsdc-53,2002-08,advanced,wcs,F,1,conflicting_claim_withheld
1457,leader,wsdc-63,2001-11,intermediate,wcs,F,1,conflicting_claim_withheld
1477,leader,wsdc-31,2000-11,PRO,wcs,5,2,conflicting_claim_withheld
1518,follower,wsdc-56,2000-04,intermediate,wcs,F,0,conflicting_claim_withheld
1519,leader,wsdc-65,2001-10,advanced,wcs,F,0,conflicting_claim_withheld
1551,follower,wsdc-11,1998-05,novice,wcs,F,0,conflicting_claim_withheld
1560,leader,wsdc-71,2000-07,novice,wcs,F,0,conflicting_claim_withheld
1602,follower,wsdc-66,1999-08,advanced,wcs,F,0,conflicting_claim_withheld
1629,leader,wsdc-53,2002-08,advanced,wcs,2,6,conflicting_claim_withheld
1641,leader,wsdc-67,1998-05,novice,wcs,3,0,conflicting_claim_withheld
1673,leader,wsdc-25,1998-06,intermediate,wcs,F,0,conflicting_claim_withheld
1675,follower,wsdc-25,1998-06,novice,wcs,F,1,conflicting_claim_withheld
1689,follower,wsdc-71,1998-07,novice,wcs,F,0,conflicting_claim_withheld
1702,leader,wsdc-5,1998-08,newcomer,wcs,F,1,conflicting_claim_withheld
1722,leader,wsdc-67,1998-05,novice,wcs,F,1,conflicting_claim_withheld
1745,leader,wsdc-53,2002-08,novice,wcs,F,1,conflicting_claim_withheld
1755,leader,wsdc-63,2001-11,novice,wcs,F,0,conflicting_claim_withheld
1759,follower,wsdc-53,2002-08,advanced,wcs,5,0,conflicting_claim_withheld
1788,follower,wsdc-63,2001-11,intermediate,wcs,3,0,conflicting_claim_withheld
1795,follower,wsdc-18,2001-04,advanced,wcs,F,1,conflicting_claim_withheld
1822,leader,wsdc-53,2002-08,advanced,wcs,F,0,conflicting_claim_withheld
1822,leader,wsdc-63,2001-11,advanced,wcs,1,10,conflicting_claim_withheld
1869,leader,wsdc-36,1999-12,novice,wcs,1,10,conflicting_claim_withheld
1957,follower,wsdc-53,2002-08,advanced,wcs,F,0,conflicting_claim_withheld
1957,follower,wsdc-63,2001-11,advanced,wcs,F,1,conflicting_claim_withheld
1974,follower,wsdc-63,2001-11,advanced,wcs,1,0,conflicting_claim_withheld
2084,leader,wsdc-47,1998-08,novice,wcs,F,0,conflicting_claim_withheld
2092,leader,wsdc-47,1998-08,intermediate,wcs,F,0,conflicting_claim_withheld
2167,leader,wsdc-66,1999-08,intermediate,wcs,F,0,conflicting_claim_withheld
2182,leader,wsdc-53,2002-08,advanced,wcs,1,10,conflicting_claim_withheld
2182,leader,wsdc-63,2001-11,advanced,wcs,3,0,conflicting_claim_withheld
2191,follower,wsdc-3,2000-10,intermediate,wcs,F,1,conflicting_claim_withheld
2191,follower,wsdc-53,2002-08,advanced,wcs,2,6,conflicting_claim_withheld
2247,leader,wsdc-34,2001-09,advanced,wcs,3,0,conflicting_claim_withheld
2251,follower,wsdc-53,2002-08,intermediate,wcs,4,3,conflicting_claim_withheld
2251,follower,wsdc-62,2003-01,intermediate,wcs,F,0,conflicting_claim_withheld
2288,leader,wsdc-18,2001-04,novice,wcs,F,0,conflicting_claim_withheld
2301,follower,wsdc-53,2002-08,advanced,wcs,4,0,conflicting_claim_withheld
2302,follower,wsdc-53,2002-08,advanced,wcs,F,0,conflicting_claim_withheld
2302,follower,wsdc-63,2001-11,advanced,wcs,4,3,conflicting_claim_withheld
2314,follower,wsdc-53,2002-08,advanced,wcs,1,10,conflicting_claim_withheld
2314,follower,wsdc-63,2001-11,advanced,wcs,5,2,conflicting_claim_withheld
2317,leader,wsdc-53,2002-08,novice,wcs,F,1,conflicting_claim_withheld
2332,leader,wsdc-53,2002-08,novice,wcs,F,0,conflicting_claim_withheld
2341,follower,wsdc-63,2001-11,intermediate,wcs,2,0,conflicting_claim_withheld
2373,follower,wsdc-15,2002-09,advanced,wcs,F,0,conflicting_claim_withheld
2384,leader,wsdc-53,2002-08,novice,wcs,F,1,conflicting_claim_withheld
2422,leader,wsdc-53,2002-08,novice,wcs,F,0,conflicting_claim_withheld
2464,leader,wsdc-16,2001-03,novice,wcs,F,0,conflicting_claim_withheld
2503,leader,wsdc-53,2002-08,novice,wcs,F,1,conflicting_claim_withheld
2515,follower,wsdc-53,2002-08,advanced,wcs,F,1,conflicting_claim_withheld
2518,follower,wsdc-53,2002-08,novice,wcs,F,0,conflicting_claim_withheld
2532,follower,wsdc-53,2002-08,intermediate,wcs,5,2,conflicting_claim_withheld
2543,leader,wsdc-53,2002-08,novice,wcs,F,0,conflicting_claim_withheld
2580,leader,wsdc-53,2002-08,intermediate,wcs,2,6,conflicting_claim_withheld
2628,leader,wsdc-41,2000-10,newcomer,wcs,F,1,conflicting_claim_withheld
2684,leader,wsdc-36,2000-12,novice,wcs,F,0,conflicting_claim_withheld
2706,follower,wsdc-53,2002-08,intermediate,wcs,3,4,conflicting_claim_withheld
2709,leader,wsdc-53,2002-08,novice,wcs,F,1,conflicting_claim_withheld
2713,leader,wsdc-53,2002-08,novice,wcs,F,0,conflicting_claim_withheld
2718,leader,wsdc-53,2002-08,novice,wcs,F,1,conflicting_claim_withheld
2729,follower,wsdc-63,2001-11,intermediate,wcs,1,10,conflicting_claim_withheld
2730,leader,wsdc-53,2002-08,advanced,wcs,F,0,conflicting_claim_withheld
2744,follower,wsdc-16,2001-03,masters,wcs,F,1,conflicting_claim_withheld
2767,follower,wsdc-62,2003-01,advanced,wcs,F,0,conflicting_claim_withheld
2806,follower,wsdc-40,2001-04,PRO,wcs,5,2,dancer_currently_not_found
2806,follower,wsdc-59,2010-07,champion,wcs,2,4,dancer_currently_not_found
2806,follower,wsdc-70,2009-09,champion,wcs,5,1,dancer_currently_not_found
2806,follower,wsdc-70,2010-11,champion,wcs,5,1,dancer_currently_not_found
2806,follower,wsdc-92,2006-03,allstar,wcs,4,3,dancer_currently_not_found
2806,follower,wsdc-96,2012-06,champion,wcs,4,2,dancer_currently_not_found
2808,follower,wsdc-63,2001-11,intermediate,wcs,4,3,conflicting_claim_withheld
2840,leader,wsdc-53,2002-08,intermediate,wcs,1,10,conflicting_claim_withheld
2861,follower,wsdc-63,2001-11,intermediate,wcs,F,1,conflicting_claim_withheld
2869,follower,wsdc-53,2002-08,novice,wcs,F,0,conflicting_claim_withheld
2917,follower,wsdc-53,2002-08,advanced,wcs,3,4,conflicting_claim_withheld
2928,follower,wsdc-20,2002-05,PRO,wcs,F,1,conflicting_claim_withheld
2932,follower,wsdc-53,2002-08,novice,wcs,F,1,conflicting_claim_withheld
2935,follower,wsdc-53,2002-08,intermediate,wcs,1,10,conflicting_claim_withheld
2970,leader,wsdc-53,2002-08,advanced,wcs,4,3,conflicting_claim_withheld
2981,leader,wsdc-10,2005-09,intermediate,wcs,F,0,conflicting_claim_withheld
3021,leader,wsdc-53,2002-08,intermediate,wcs,5,2,conflicting_claim_withheld
3021,leader,wsdc-63,2001-11,intermediate,wcs,3,4,conflicting_claim_withheld
3034,leader,wsdc-34,2001-09,PRO,wcs,3,4,conflicting_claim_withheld
3035,follower,wsdc-53,2002-08,novice,wcs,F,1,conflicting_claim_withheld
3042,follower,wsdc-53,2002-08,intermediate,wcs,F,1,conflicting_claim_withheld
3093,follower,wsdc-65,2001-10,novice,wcs,F,0,conflicting_claim_withheld
3107,follower,wsdc-53,2002-08,novice,wcs,F,1,conflicting_claim_withheld
3116,follower,wsdc-53,2002-08,novice,wcs,F,1,conflicting_claim_withheld
3274,leader,wsdc-15,2002-09,novice,wcs,F,0,conflicting_claim_withheld
3367,leader,wsdc-53,2002-08,novice,wcs,F,1,conflicting_claim_withheld
3379,follower,wsdc-53,2002-08,novice,wcs,F,1,conflicting_claim_withheld
3396,follower,wsdc-53,2002-08,novice,wcs,F,1,conflicting_claim_withheld
3480,follower,wsdc-53,2002-08,novice,wcs,F,0,conflicting_claim_withheld
3481,follower,wsdc-53,2002-08,novice,wcs,F,0,conflicting_claim_withheld
3495,leader,wsdc-62,2003-01,novice,wcs,F,0,conflicting_claim_withheld
3685,leader,wsdc-67,2008-05,PRO,wcs,F,0,conflicting_claim_withheld
3893,follower,wsdc-37,2006-12,novice,wcs,F,0,conflicting_claim_withheld
3901,leader,wsdc-66,2007-08,intermediate,wcs,F,0,conflicting_claim_withheld
3901,leader,wsdc-97,2006-07,novice,wcs,5,0,conflicting_claim_withheld
3959,follower,wsdc-37,2006-12,advanced,wcs,F,1,conflicting_claim_withheld
4470,leader,wsdc-131,2010-09,newcomer,wcs,F,0,conflicting_claim_withheld
4533,leader,wsdc-10,2005-09,novice,wcs,F,0,conflicting_claim_withheld
4722,leader,wsdc-92,2005-03,sophisticated,wcs,5,2,conflicting_claim_withheld
4723,leader,wsdc-66,2007-08,novice,wcs,F,0,conflicting_claim_withheld
4873,follower,wsdc-67,2008-05,advanced,wcs,F,1,conflicting_claim_withheld
5004,follower,wsdc-51,2006-09,novice,wcs,F,0,conflicting_claim_withheld
5160,follower,wsdc-67,2008-05,intermediate,wcs,F,0,conflicting_claim_withheld
5169,leader,wsdc-79,2008-09,masters,wcs,4,2,conflicting_claim_withheld
5429,leader,wsdc-126,2006-10,newcomer,wcs,3,4,conflicting_claim_withheld
5430,leader,wsdc-126,2006-10,newcomer,wcs,4,0,conflicting_claim_withheld
5432,leader,wsdc-126,2006-10,newcomer,wcs,2,0,conflicting_claim_withheld
5433,leader,wsdc-126,2006-10,newcomer,wcs,3,4,conflicting_claim_withheld
5434,leader,wsdc-126,2006-10,newcomer,wcs,5,0,conflicting_claim_withheld
5442,follower,wsdc-126,2006-10,newcomer,wcs,1,10,conflicting_claim_withheld
5443,follower,wsdc-126,2006-10,newcomer,wcs,2,0,conflicting_claim_withheld
5444,follower,wsdc-126,2006-10,newcomer,wcs,3,0,conflicting_claim_withheld
5445,follower,wsdc-126,2006-10,newcomer,wcs,4,0,conflicting_claim_withheld
5446,follower,wsdc-126,2006-10,newcomer,wcs,5,2,conflicting_claim_withheld
5730,leader,wsdc-117,2010-06,advanced,wcs,4,2,conflicting_claim_withheld
5812,leader,wsdc-137,2007-11,novice,wcs,F,0,conflicting_claim_withheld
6141,follower,wsdc-67,2008-05,novice,wcs,F,0,conflicting_claim_withheld
6485,follower,wsdc-119,2008-08,novice,wcs,F,0,conflicting_claim_withheld
6536,leader,wsdc-95,2010-09,novice,wcs,F,0,conflicting_claim_withheld
7407,leader,wsdc-177,2024-09,masters,wcs,2,2,conflicting_claim_withheld
7440,leader,wsdc-131,2010-09,novice,wcs,F,0,conflicting_claim_withheld
9202,leader,wsdc-117,2026-06,masters,wcs,3,1,conflicting_claim_withheld
12099,leader,wsdc-194,2014-11,newcomer,wcs,1,10,dancer_currently_not_found
12452,follower,wsdc-215,2015-02,newcomer,wcs,F,1,dancer_currently_not_found
16958,follower,wsdc-184,2018-01,novice,wcs,F,2,dancer_currently_not_found
17794,follower,wsdc-177,2018-09,novice,wcs,F,1,dancer_currently_not_found
18512,leader,wsdc-10,2022-09,intermediate,wcs,F,1,dancer_currently_not_found
18512,leader,wsdc-12,2020-02,intermediate,wcs,1,10,dancer_currently_not_found
18512,leader,wsdc-227,2022-08,intermediate,wcs,4,8,dancer_currently_not_found
18512,leader,wsdc-244,2019-02,novice,wcs,F,1,dancer_currently_not_found
18890,follower,wsdc-174,2019-05,novice,wcs,4,8,dancer_currently_not_found
18952,follower,wsdc-175,2019-06,newcomer,wcs,1,6,dancer_currently_not_found
18952,follower,wsdc-175,2022-05,juniors,wcs,1,6,dancer_currently_not_found
18952,follower,wsdc-175,2022-05,novice,wcs,F,2,dancer_currently_not_found
18952,follower,wsdc-186,2023-03,juniors,wcs,4,4,dancer_currently_not_found
18952,follower,wsdc-270,2022-11,juniors,wcs,4,2,dancer_currently_not_found
18952,follower,wsdc-313,2021-09,novice,wcs,F,1,dancer_currently_not_found
18952,follower,wsdc-313,2024-09,novice,wcs,F,1,dancer_currently_not_found
19367,follower,wsdc-232,2019-09,novice,wcs,3,6,dancer_currently_not_found
19447,leader,wsdc-8,2019-10,novice,wcs,1,15,dancer_currently_not_found
20922,follower,wsdc-131,2022-09,novice,wcs,F,1,dancer_currently_not_found
20922,follower,wsdc-141,2025-01,novice,wcs,1,20,dancer_currently_not_found
20922,follower,wsdc-197,2024-03,novice,wcs,F,1,dancer_currently_not_found
20922,leader,wsdc-79,2024-11,newcomer,wcs,F,1,dancer_currently_not_found
20932,follower,wsdc-167,2022-09,novice,wcs,F,1,dancer_currently_not_found
21052,follower,wsdc-65,2022-10,novice,wcs,F,1,dancer_currently_not_found
21061,follower,wsdc-330,2022-11,novice,wcs,3,6,dancer_currently_not_found
21062,follower,wsdc-330,2022-11,novice,wcs,5,2,dancer_currently_not_found
21327,follower,wsdc-184,2023-01,novice,wcs,5,12,dancer_currently_not_found
21446,follower,wsdc-12,2023-02,masters,wcs,F,1,dancer_currently_not_found
21746,follower,wsdc-174,2023-05,novice,wcs,F,1,dancer_currently_not_found
21967,leader,wsdc-200,2025-01,novice,wcs,F,1,dancer_currently_not_found
21967,leader,wsdc-210,2025-04,novice,wcs,3,10,dancer_currently_not_found
21967,leader,wsdc-224,2025-07,sophisticated,wcs,5,2,dancer_currently_not_found
21967,leader,wsdc-225,2023-07,newcomer,wcs,4,4,dancer_currently_not_found
21967,leader,wsdc-225,2025-07,intermediate,wcs,F,1,dancer_currently_not_found
21967,leader,wsdc-300,2024-09,novice,wcs,3,10,dancer_currently_not_found
21967,leader,wsdc-300,2025-09,intermediate,wcs,F,1,dancer_currently_not_found
21967,leader,wsdc-343,2025-02,novice,wcs,F,1,dancer_currently_not_found
22205,leader,wsdc-47,2023-08,novice,wcs,F,1,dancer_currently_not_found
22450,follower,wsdc-267,2023-10,novice,wcs,F,1,dancer_currently_not_found
22450,follower,wsdc-9,2025-03,novice,wcs,4,12,dancer_currently_not_found
22577,leader,wsdc-203,2024-04,novice,wcs,F,1,dancer_currently_not_found
22577,leader,wsdc-229,2023-11,newcomer,wcs,5,2,dancer_currently_not_found
22653,leader,wsdc-269,2023-11,newcomer,wcs,4,2,dancer_currently_not_found
22741,leader,wsdc-175,2025-06,juniors,wcs,1,3,conflicting_claim_withheld
22770,leader,wsdc-334,2024-01,novice,wcs,F,1,dancer_currently_not_found
22770,leader,wsdc-334,2025-01,novice,wcs,F,1,dancer_currently_not_found
22911,follower,wsdc-309,2024-01,newcomer,wcs,2,4,dancer_currently_not_found
22919,follower,wsdc-242,2024-01,newcomer,wcs,1,6,dancer_currently_not_found
22919,follower,wsdc-242,2025-01,novice,wcs,5,6,dancer_currently_not_found
22919,leader,wsdc-242,2025-01,newcomer,wcs,1,10,dancer_currently_not_found
22921,follower,wsdc-242,2024-01,newcomer,wcs,3,3,dancer_currently_not_found
22943,follower,wsdc-301,2024-01,newcomer,wcs,1,10,dancer_currently_not_found
22943,follower,wsdc-382,2025-08,novice,wcs,F,1,dancer_currently_not_found
22943,leader,wsdc-307,2025-02,newcomer,wcs,4,4,dancer_currently_not_found
23035,leader,wsdc-297,2024-02,newcomer,wcs,F,1,dancer_currently_not_found
23086,leader,wsdc-333,2024-03,novice,wcs,4,4,dancer_currently_not_found
23090,follower,wsdc-333,2024-03,novice,wcs,5,6,dancer_currently_not_found
23134,leader,wsdc-318,2024-03,newcomer,wcs,2,2,dancer_currently_not_found
23150,follower,wsdc-119,2024-08,novice,wcs,F,1,dancer_currently_not_found
23150,follower,wsdc-119,2025-08,novice,wcs,F,1,dancer_currently_not_found
23150,follower,wsdc-142,2024-03,newcomer,wcs,4,4,dancer_currently_not_found
23150,follower,wsdc-242,2025-01,novice,wcs,F,1,dancer_currently_not_found
23150,follower,wsdc-76,2024-06,novice,wcs,F,1,dancer_currently_not_found
23150,leader,wsdc-76,2024-06,newcomer,wcs,4,2,dancer_currently_not_found
23342,follower,wsdc-210,2024-04,masters,wcs,5,2,dancer_currently_not_found
23413,leader,wsdc-218,2024-04,novice,wcs,F,1,dancer_currently_not_found
23472,leader,wsdc-134,2024-05,novice,wcs,F,1,dancer_currently_not_found
23521,follower,wsdc-105,2024-05,novice,wcs,F,1,dancer_currently_not_found
23755,leader,wsdc-278,2024-07,novice,wcs,F,1,dancer_currently_not_found
23795,follower,wsdc-156,2024-07,novice,wcs,F,1,dancer_currently_not_found
23971,leader,wsdc-227,2024-08,novice,wcs,4,12,dancer_currently_not_found
24069,follower,wsdc-47,2024-08,novice,wcs,3,14,dancer_currently_not_found
24072,leader,wsdc-47,2024-08,sophisticated,wcs,F,1,dancer_currently_not_found
24174,follower,wsdc-167,2024-09,novice,wcs,4,4,dancer_currently_not_found
